mcd,sid,mct
20230405,AAN112,1635
20230831,ADL311,0814
20230324,AEY864,0820
20230810,AJR151,1355
20230810,ANX726,1630
20230629,APP152,1159
20230807,AQW824,1357
20230726,AYE877,1657
20230308,BDF920,1352
20220809,BDX383,0838
20220412,BGR645,1326
20220711,BHC106,1300
20230316,BHK376,1103
20220809,BJM420,1034
20230328,BLY735,0800
20220815,BMP511,1307
20220627,BPM833,0812
20220819,BUS250,0803
20230914,BXQ083,1105
20210818,CDR970,1332
20230706,CDS799,1157
20230918,CEK996,0801
20230801,CEW454,1747
20220414,CKO174,1359
20220831,CMS162,0751
20230224,CMZ386,1359
20230309,CPA784,0820
20230901,CPP930,1429
20230728,CRV122,0757
20230720,CTP175,1025
20230706,CVR434,1016
20230306,CYQ521,0812
20230615,DAT749,1702
20230404,DED409,1217
20230908,DHA971,1645
20220614,DNM410,1135
20210819,DOT682,0903
20230503,DPB401,1657
20220808,DPE040,0809
20230207,DTW301,1619
20230511,DUA525,0810
20230817,DZS003,1136
20220708,EAQ417,1309
20230306,ECU095,1656
20230303,EFQ599,0802
20211006,EID363,0836
20230801,EJG940,1420
20230410,ENU192,1641
20230816,EPP420,1219
20230608,EPY965,1209
20230915,EVY126,0810
20230728,EXA831,1002
20220729,EYU493,0802
20230310,FCT871,1106
20230602,FDC636,1248
20230728,FGK870,1203
20230601,FJC651,1428
20230602,FMB793,1453
20230728,FPK790,1401
20230307,FQC133,0805
20220315,FWC239,1053
20210810,FXN596,1306
20220815,FZC097,1041
20230914,GBH400,1035
20230317,GBQ558,1054
20220628,GCJ518,1338
20230313,GCZ208,0819
20220826,GHY971,1304
20230404,GJI283,0804
20230814,GJL377,0822
20230814,GTA798,0822
20220824,GTU803,0804
20230410,GVM433,1017
20230316,GXR876,1356
20220815,GZL442,0815
20230726,GZU008,0805
20220811,HAZ933,1704
20230906,HBM931,0803
20230705,HBT289,1657
20230503,HDM935,1006
20220315,HDZ165,0818
20220601,HMD844,0818
20220726,HNU630,1314
20220214,HOS732,0846
20230323,HRO745,1044
20230630,HTL154,1651
20230228,HUJ848,1358
20230607,HVO722,1409
20230815,HWN858,0816
20220706,HXZ579,0804
20230913,HZB156,1653
20220804,IAB232,1254
20230322,IBQ026,1706
20220808,IBX730,1036
20220802,IDD857,0838
20230316,IDQ986,0811
20230406,IEM175,1655
20230328,IEY203,1214
20210902,IFG774,0817
20230525,IHO061,1403
20230724,IIQ590,0814
20230628,IJB027,1405
20230308,IKB041,1639
20230726,IKQ982,1210
20230920,INQ807,1404
20230809,ITH925,1645
20230306,IXG477,1402
20220405,JBK895,1114
20230717,JCL627,1001
20220712,JEH262,1040
20230919,JEN167,1056
20230612,JFS610,1211
20230727,JHF119,1148
20230605,JJA915,1354
20230328,JLG278,1357
20230905,JOX535,1354
20220705,JPG686,1055
20230515,JUP244,0817
20230503,JUP632,1400
20220114,JZE802,0820
20220830,JZN879,1711
20230815,JZP542,0832
20230802,KAP399,1003
20210827,KDA058,0906
20230213,KGV285,0817
20230707,KIX259,0817
20211001,KJJ701,0855
20230124,KKF424,1415
20220314,KMD200,1116
20220624,KNE408,0823
20230516,KOH994,0802
20220829,KSA222,0836
20230531,KTI779,1207
20230307,KUG325,1648
20220812,KVG225,1031
20230925,KWL586,1644
20230725,KXI621,1218
20230222,KYL945,1639
20230224,LAH619,1623
20210901,LAS440,0833
20230412,LCJ763,1218
20230504,LFL648,0811
20231003,LGV914,1715
20230330,LMT312,0823
20230810,LNL587,0819
20220901,LNP057,1305
20230802,LPB114,1205
20230802,LPZ782,0810
20230705,LSM853,1409
20230814,LVD531,1700
20231002,LVW007,1655
20230302,LVY864,1654
20230809,LWN501,0814
20230609,LXC339,0959
20230811,MBF289,1414
20220819,MBU172,1707
20210929,MCR809,0827
20230614,MDH491,0816
20230427,MFG164,1413
20230206,MFS340,1354
20230925,MGR740,0843
20230720,MJX355,1415
20220509,MLU130,1343
20220815,MOP211,1656
20230707,MQL211,1200
20230228,MUE507,1048
20230719,MVB233,1655
20230323,MZL038,1656
20230804,MZW030,1159
20220714,NAB660,1031
20230908,NCC597,1549
20220805,NCU289,1649
20230810,NDZ630,1201
20230601,NEB896,1051
20230109,NFS933,1327
20220311,NFU480,1115
20220715,NHU176,1250
20230912,NJI020,1313
20220304,NNQ107,1320
20230502,NOG724,1030
20230302,NPU983,1051
20210817,NRE683,0900
20230918,NTA876,1040
20230405,NWM763,1213
20220830,NWO798,0814
20220819,NYY338,1313
20220408,ODJ622,0829
20230614,OGN840,1719
20230606,OIR382,1650
20230829,OKX508,1404
20220215,ONK705,0801
20230317,ONK818,1648
