mcd,sid,mct
20230405,AAN112,1635
20230831,ADL311,0814
20230324,AEY864,0820
20230810,AJR151,1355
20230810,ANX726,1630
20230629,APP152,1159
20230807,AQW824,1357
20230726,AYE877,1657
20230308,BDF920,1352
20230316,BHK376,1103
20230328,BLY735,0800
20230914,BXQ083,1105
20230706,CDS799,1157
20230918,CEK996,0801
20230801,CEW454,1747
20230224,CMZ386,1359
20230309,CPA784,0820
20230901,CPP930,1429
20230728,CRV122,0757
20230720,CTP175,1025
20230706,CVR434,1016
20230306,CYQ521,0812
20230615,DAT749,1702
20230404,DED409,1217
20230908,DHA971,1645
20230503,DPB401,1657
20230207,DTW301,1619
20230511,DUA525,0810
20230817,DZS003,1136
20230306,ECU095,1656
20230303,EFQ599,0802
20230801,EJG940,1420
