mcd,mct,sid
20230405,1635,AAN112
20230510,0815,ACX950
20230831,0814,ADL311
20230324,0820,AEY864
20230810,1355,AJR151
20230810,1630,ANX726
20230629,1159,APP152
20230807,1357,AQW824
20230727,1605,ASO124
20230726,1657,AYE877
20230505,0756,BCT945
20230308,1352,BDF920
20230316,1103,BHK376
20230328,0800,BLY735
20230707,1644,BPD753
20230315,1033,BRN235
20230914,1105,BXQ083
20230706,1157,CDS799
20230918,0801,CEK996
20230801,1747,CEW454
20230314,0821,CHW815
20230510,1120,CKI235
20230224,1359,CMZ386
20230901,0824,COS678
20230309,0820,CPA784
20230901,1429,CPP930
20230728,0757,CRV122
20230803,1208,CTM398
20230720,1025,CTP175
20230711,0825,CVN053
20230706,1016,CVR434
20230306,0812,CYQ521
20230615,1702,DAT749
20230404,1217,DED409
20230707,1439,DEG891
20230908,1645,DHA971
20230804,0754,DIC588
20230630,1003,DJQ871
20230503,1657,DPB401
20230614,1204,DTM377
20230207,1619,DTW301
20230511,0810,DUA525
20230817,1136,DZS003
20230306,1656,ECU095
20230303,0802,EFQ599
20230712,0821,EFV117
20230731,0809,EIP754
20230801,1420,EJG940
20230516,1051,EJZ314
20230502,0810,EMQ048
20230410,1641,ENU192
20230814,1406,ENY959
20230816,1219,EPP420
20230608,1209,EPY965
20230616,1204,ETA433
20230816,1319,ETD631
20230915,0810,EVY126
20230728,1002,EXA831
20230310,1106,FCT871
20230602,1248,FDC636
20230728,1203,FGK870
20230601,1428,FJC651
20230602,1453,FMB793
20230728,1401,FPK790
20230307,0805,FQC133
20230707,0812,FTA753
20230613,1827,FVB691
20230809,1231,FYR332
20230914,1035,GBH400
20230317,1054,GBQ558
20230313,0819,GCZ208
20230510,1005,GIH724
20230404,0804,GJI283
20230814,0822,GJL377
20230814,0822,GTA798
20230410,1017,GVM433
20230721,1615,GWA089
20230316,1356,GXR876
20230726,0805,GZU008
20230906,0803,HBM931
20230705,1657,HBT289
20230710,1546,HDI657
20230503,1006,HDM935
20230720,1201,HEQ101
20230815,1549,HGG902
20230705,1604,HIC628
20230712,1212,HKN943
20230725,0815,HMY450
20230323,1044,HRO745
20230630,1651,HTL154
20230515,1448,HUE854
20230228,1358,HUJ848
20230724,1155,HVA497
20230607,1409,HVO722
20230815,0816,HWN858
20230913,1653,HZB156
20230322,1706,IBQ026
20230428,0821,IBU020
20230316,0811,IDQ986
20230406,1655,IEM175
20230328,1214,IEY203
20230420,1701,IGI289
20230427,1214,IGM864
20230525,1403,IHO061
20230724,0814,IIQ590
20230628,1405,IJB027
20230308,1639,IKB041
20230726,1210,IKQ982
20230130,1150,ILB395
20230412,0749,ILU306
20230920,1404,INQ807
20230809,1645,ITH925
20230306,1402,IXG477
20230717,1001,JCL627
20230130,0952,JEM451
20230919,1056,JEN167
20230710,1257,JEX475
20230808,1230,JFS039
20230612,1211,JFS610
20230727,1148,JHF119
20230605,1354,JJA915
20230328,1357,JLG278
20230905,1354,JOX535
20230821,1532,JPF641
20230515,0817,JUP244
20230503,1400,JUP632
20230815,0832,JZP542
20230802,1003,KAP399
20230629,1210,KBD683
20230509,1037,KDV381
20230213,0817,KGV285
20230428,1637,KHU880
20230707,0817,KIX259
20230124,1415,KKF424
20230516,0802,KOH994
20230516,1453,KOS256
20230620,1406,KRG170
20230613,1657,KRW986
20230531,1207,KTI779
20230307,1648,KUG325
20230925,1644,KWL586
20230725,1218,KXI621
20230222,1639,KYL945
20230810,1005,KZB695
20230224,1623,LAH619
20230106,0756,LAS689
20230412,1218,LCJ763
20230504,0811,LFL648
20231003,1715,LGV914
20230803,0821,LJQ675
20230330,0823,LMT312
20230810,0819,LNL587
20230802,1205,LPB114
20230802,0810,LPZ782
20230705,1409,LSM853
20230814,1700,LVD531
20231002,1655,LVW007
20230302,1654,LVY864
20230809,0814,LWN501
20230609,0959,LXC339
20230811,1414,MBF289
20230614,0816,MDH491
20230427,1413,MFG164
20230206,1354,MFS340
20230925,0843,MGR740
20230719,0831,MIK325
20230720,1415,MJX355
20230501,0757,MOU056
20230707,1200,MQL211
20230814,1243,MSJ975
20230228,1048,MUE507
20230719,1655,MVB233
20230323,1656,MZL038
20230804,1159,MZW030
20230601,1300,NBD881
20230908,1549,NCC597
20230810,1201,NDZ630
20230601,1051,NEB896
20230109,1327,NFS933
20230912,1313,NJI020
20230711,1214,NMW294
20230502,1030,NOG724
20230302,1051,NPU983
20230918,1040,NTA876
20230405,1213,NWM763
20230512,1136,NZR515
20230815,1238,OCY843
20230428,1423,OEM468
20230818,1532,OGN064
20230614,1719,OGN840
20230606,1650,OIR382
20230426,0827,OIY799
20230829,1404,OKX508
20230317,1648,ONK818
20230717,1649,OPB152
20230620,0813,OQT121
20230502,0816,ORZ494
20230725,1407,OWI326
20230810,0812,OXS375
20230113,1049,OYZ524
20230502,1712,PBG329
20230913,1602,PCW261
20230413,1031,PDG961
20230817,0805,PDX936
20230629,1650,PEW584
20230314,1632,PFN770
20230501,1015,PHE887
20230714,1006,PJX702
20230925,1356,PKH444
20230726,1623,PNM275
20230913,1351,POO565
20230329,1226,POV665
20230717,0836,PSV686
20230815,1401,PWG860
20230607,0809,PZC599
20230105,1702,QAC448
20230713,1647,QBF488
20230629,1004,QBN395
20230106,1047,QCW581
20230808,1656,QFA788
20230322,0820,QHY185
20230906,1059,QLL112
20230717,1225,QNG975
20230721,1214,QOZ672
20230213,1701,QQE855
20230908,0822,QRZ109
20230915,1648,QVU001
20230620,1018,QWA193
20230811,1202,QWY097
20230530,1024,QXP432
20230517,1211,QZP994
20230823,1259,RDI271
20230227,0800,RFM975
20230518,1009,RFZ285
20230313,1653,RHL466
20230919,1626,RHU956
20230309,1343,RIM072
20230712,1705,RJE042
20230530,1417,RKG241
20230726,1016,RLB874
20230721,1647,ROW863
20230327,1036,RSC756
20230727,1211,RSJ093
20230630,1424,RSY180
20230502,1418,RWA092
20230403,1022,RWS274
20230623,1410,RZR770
20230713,1005,SDC048
20230302,0808,SEI058
20230627,1701,SIQ409
20230328,1647,SKA291
20230622,1422,SLB955
20230710,1709,SMD697
20230710,0836,SSH558
20230728,1206,SVG441
20230316,1637,SZF448
20230331,1629,SZF448
20230807,0839,TCE049
20230315,0816,TEA904
20230906,1552,TGD503
20230303,1320,THZ772
20230526,1657,TLD140
20230710,1009,TMJ742
20230602,0800,TOU998
20230425,1237,TOX913
20230720,0810,TQX939
20230227,1659,TRT983
20230811,0827,TTG471
20230808,0805,TUD105
20230807,1011,TWH159
20230410,0805,TWP078
20230227,1052,TXE513
20230816,0807,TYX812
20230330,1421,UCD539
20230424,1413,UHU265
20230515,1236,UII082
20230918,1402,UIQ957
20230315,1638,UIS049
20230414,1633,UIX933
20230601,1208,UJD603
20230627,1045,UMJ550
20230407,1229,UMQ592
20230224,1102,UPC002
20230516,1240,UQD073
20230804,1714,URP626
20230823,1522,USM181
20230831,1037,UTI042
20230602,1011,UTS316
20230302,1343,UWK768
20230501,1656,UXP630
20230505,1211,UXS257
20230718,1021,UYF211
20221213,1425,VBY735
20230804,1351,VCT366
20230516,1219,VCU802
20230609,1358,VLS079
20230301,1646,VNS883
20230623,1015,VOF015
20230424,1024,VOG927
20230405,1407,VWX661
20230131,1229,WBX393
20230615,1238,WCO145
20230721,1207,WOZ406
20230914,1702,WOZ485
20230710,0814,WWY595
20230615,0808,WXT125
20230822,1314,XBV357
